$ 2013 N,orth San,"tiam, ps",t,no continuous usgs wq data 2013,,,,,,,
#,,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,NOx,RDOM,RPOM,ALG-BG,ALG-OTH,DO
9.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.42826508
9.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.45685777
9.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.44845247
9.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.43164183
9.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.4065906
9.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.39406496
9.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.38153929
9.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.38977986
9.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.4065906
9.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.41911623
9.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.39078483
9.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.39078483
9.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.39489452
9.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.3990042
9.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.40738795
9.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.41166201
9.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.47714861
9.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.47714861
9.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.51425357
9.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.51839511
9.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.55152778
9.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.55584614
