system:index,chl,date,sensor,.geo
2012_11_15_0,40.5139059595208,2012-11-15,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_11_25_0,43.051491406204455,2012-11-25,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_11_26_0,41.415393320575376,2012-11-26,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_12_26_0,39.092476290867346,2012-12-26,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_12_27_0,45.07290360321169,2012-12-27,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_12_29_0,38.106453381840886,2012-12-29,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_01_04_0,40.660497970562,2013-01-04,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_01_17_0,45.610451696339354,2013-01-17,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_01_18_0,42.48946114589131,2013-01-18,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_01_21_0,43.082761788072276,2013-01-21,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_01_22_0,44.75406823730793,2013-01-22,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_02_01_0,690.9029420443084,2013-02-01,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_02_08_0,65.33507498858432,2013-02-08,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_02_10_0,33.16225632390151,2013-02-10,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_02_15_0,43.46863761871119,2013-02-15,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_04_0,37.791166657333555,2013-03-04,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_07_0,74.56633160453275,2013-03-07,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_08_0,68.5194902604333,2013-03-08,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_09_0,35.09881872420618,2013-03-09,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_30_0,108.30455902530537,2013-03-30,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_04_22_0,59.509446045809604,2013-04-22,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_04_23_0,79.99808302208409,2013-04-23,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
