system:index,chl,date,sensor,.geo
2012_08_31_0,110.22636113166313,2012-08-31,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_01_0,100.62236823082537,2012-09-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_02_0,104.3025089244901,2012-09-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_03_0,142.66576017130717,2012-09-03,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_04_0,83.77162575438452,2012-09-04,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_05_0,141.2162822348796,2012-09-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_06_0,122.99868547105127,2012-09-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_07_0,95.52169635133694,2012-09-07,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_11_0,124.1512466878427,2012-09-11,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_12_0,99.69958316559504,2012-09-12,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_14_0,102.83457582957294,2012-09-14,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_15_0,58.43550124747408,2012-09-15,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_16_0,87.28306245358723,2012-09-16,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_17_0,127.39294627513704,2012-09-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_18_0,109.91343899125246,2012-09-18,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_20_0,85.57609622082207,2012-09-20,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_22_0,125.11212277720765,2012-09-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_24_0,109.3731343928402,2012-09-24,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_25_0,72.47708175638502,2012-09-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_26_0,149.06987360504542,2012-09-26,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_30_0,105.10226825015248,2012-09-30,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_01_0,132.47031145507643,2012-10-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_02_0,83.17198092128929,2012-10-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_03_0,70.86921375077222,2012-10-03,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_04_0,79.23413173293807,2012-10-04,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_05_0,101.37951870521545,2012-10-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_06_0,128.9434404722248,2012-10-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_07_0,76.38778263643135,2012-10-07,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_08_0,105.705126677615,2012-10-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_09_0,80.89816137810442,2012-10-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
